name
isiB
syc0001_c
isiA
syc0002_c
syc0003_d
syc0004_d
syc0005_d
syc0006_c
syc0007_d
umuD
syc0008_d
umuC
syc0009_d
ilvC
syc0010_c
syc0011_d
clpP
syc0012_c
syc0013_d
syc0014_d
rpoD6
syc0015_c
syc0016_d
syc0017_d
syc0018_d
syc0019_c
syc0020_c
syc0021_c
syc0022_d
syc0023_d
ppk
syc0024_d
syc0025_c
syc0026_c
pacS
syc0027_c
syc0028_d
syc0029_d
syc0030_d
syc0031_d
malQ
syc0032_d
syc0033_d
argS
syc0034_c
syc0035_c
tatC
syc0036_d
syc0037_c
syc0038_d
syc0039_c
syc0040_d
syc0041_c
syc0042_c
syc0043_d
syc0044_c
syc0045_c
pmbA
syc0046_c
syc0047_c
nbp1
syc0048_c
syc0049_d
syc0050_d
syc0051_d
accA
syc0052_d
acdS
syc0053_d
folE
syc0054_d
syc0055_d
syc0056_d
syc0057_d
syc0058_c
syc0059_d
ampC
syc0060_d
syc0061_d
syc0062_c
syc0063_d
syc0064_c
manC
syc0065_d
syc0066_d
pntB
syc0067_c
pntA
syc0068_c
syc0069_c
syc0070_d
rpl34
syc0071_d
rnpA
syc0072_d
syc0073_d
syc0074_d
yidC
syc0075_d
syc0076_d
syc0077_d
syc0078_d
ycf46
syc0079_c
syc0080_d
syc0081_d
ribC
syc0082_c
syc0083_c
syc0084_c
syc0085_c
syc0086_c
syc0087_d
syc0088_d
petJ
syc0089_d
syc0090_d
syc0091_d
syc0092_d
syc0093_c
syc0094_c
syc0095_d
syc0096_d
syc0097_d
syc0098_d
syc0099_d
plsC
syc0100_c
syc0101_c
fabH
syc0102_c
plsX
syc0103_c
syc0104_c
radA
syc0105_d
syc0106_c
pstB
syc0107_c
syc0108_d
nadA
syc0109_c
icfA
syc0110_c
syc0111_d
syc0112_d
syc0113_c
syc0114_c
syc0115_d
syc0116_d
thrB
ndhD
syc0117_d
pmgA
syc0118_d
syc0119_d
syc0120_d
menD
syc0121_d
syc0122_d
argC
syc0123_c
ribA
syc0124_d
rot
syc0125_c
syc0126_d
syc0127_d
purK
syc0128_c
rbcS
syc0129_c
rbcL
syc0130_c
ccmO
syc0131_c
ccmN
syc0132_c
ccmM
syc0133_c
ccmL
syc0134_c
ccmK
syc0135_c
chlN
syc0136_c
chlL
syc0137_c
syc0138_c
syc0139_c
topA
ndhB
syc0140_d
syc0141_d
syc0142_c
syc0143_d
syc0144_d
leuA
syc0145_d
syc0146_c
syc0147_c
futB
syc0148_c
syc0149_d
syc0150_c
syc0151_d
syc0152_d
syc0153_c
syc0154_d
syc0155_d
syc0156_d
syc0157_d
syc0158_c
syc0159_d
syc0160_c
syc0161_c
syc0162_c
syc0163_d
comM
syc0164_c
syc0165_d
psbAII
syc0166_d
syc0167_c
syc0168_c
syc0169_d
syc0170_d
syc0171_c
ppa
syc0172_d
syc0173_c
syc0174_c
syc0175_c
syc0176_c
accC
syc0177_c
syc0178_d
syc0179_c
